anchor,layer,window,alpha,component,final_kl_mean,final_kl_lo,final_kl_hi,flip_rate,dnll_mean,dnll_lo,dnll_hi,n
mid,2,5,0.5,resid,0.002580093045745328,-7.460688937754867e-08,0.016962541383691108,0.0,0.14672838101784388,0.0013405062258243562,0.3688854955136775,60
mid,2,5,0.75,resid,0.002841738111420783,-7.813930853473039e-08,0.013458613678812969,0.0,0.470102858543396,0.004760407656431199,1.3633866757154454,60
mid,2,5,1.0,resid,0.0025727390623917785,-7.896090661319022e-08,0.013448814884759474,0.0,0.4929330229759216,0.006715680658817292,1.4064679384231555,60
mid,4,1,0.25,resid,0.00028507156273706986,-1.3248643355723287e-07,0.0021167436760151756,0.0,0.00032476683457692465,-0.0030234444886445997,0.004202397167682645,60
mid,4,1,0.5,resid,0.00038652265063335853,-6.060876627245193e-08,0.002200326375896111,0.0,0.012287856390078863,-0.0024337869137525557,0.07597243823111052,60
mid,4,1,0.75,resid,0.0005729121218618541,-4.6737134518082256e-08,0.0027004053234122687,0.0,0.08244351893663407,-0.00016197636723518365,0.2431840665638445,60
mid,4,1,1.0,resid,0.0006023511139539417,-1.3468119242077137e-07,0.004391825722996142,0.0,0.09173839315772056,0.0005221139639616013,0.25792566165328007,60
mid,4,3,0.25,resid,0.0003168107294779972,-4.068835846027241e-08,0.0019915018754545597,0.0,0.0020977869629859925,-0.0027261387556791307,0.014941370487213126,60
mid,4,3,0.5,resid,0.0010444192076951668,-9.77629886378395e-08,0.010045826341956842,0.0,0.07409214054544767,-0.0008897285908460616,0.2132734168320894,60
mid,4,3,0.75,resid,0.0016152579927168676,-4.1027362129852914e-08,0.011010154156247134,0.0,0.2751373380422592,0.000739806890487671,0.9490577101707451,60
mid,4,3,1.0,resid,0.001957067771694785,-6.336765512315878e-08,0.01659706101054323,0.0,0.29294783199826874,0.0005751840770244599,0.9802214205265039,60
mid,4,5,0.25,resid,0.00029870081489109525,-7.135708361971637e-08,0.0019831865181913597,0.0,0.0028843219081560773,-0.0017240792512893677,0.019003126025199872,60
mid,4,5,0.5,resid,0.0013806528956139949,-9.755927372623319e-08,0.015533649560529711,0.0,0.13368769735097885,0.00032947212457656866,0.3508614636957645,60
mid,4,5,0.75,resid,0.002749319237242773,-6.135121273231903e-08,0.017436821549199497,0.0,0.4547416177888711,0.003267293423414231,1.3377480655908573,60
mid,4,5,1.0,resid,0.002660266927785478,-7.881237813478492e-08,0.016527065401896832,0.0,0.480910121401151,0.00463259369134903,1.3964042097330083,60
mid,6,1,0.25,resid,0.0002975848633418673,-7.345294239513578e-08,0.001953996659722179,0.0,0.0006611588100592296,-0.003494720160961151,0.005590975284576415,60
mid,6,1,0.5,resid,0.00043025082903176416,-1.382120162318756e-07,0.0020112898666411637,0.0,0.01076578845580419,-0.001760140061378479,0.0734416794031858,60
mid,6,1,0.75,resid,0.0005642311484549338,-1.36980371046036e-07,0.004434882727218787,0.0,0.07946433201432228,-0.00019866600632667536,0.23637579753994925,60
mid,6,1,1.0,resid,0.0005615424989466212,-4.290005470863889e-08,0.0032451590872369703,0.0,0.0907142587006092,-1.0184943675994846e-05,0.25250106230378133,60
mid,6,3,0.25,resid,0.00043793501066269097,-5.591081126965491e-08,0.002119612070964649,0.0,0.002772148698568344,-0.0042943011969327925,0.017880373448133466,60
